HTTPS,48.47
HTTP,28.95
UNKNOWN_UDP,9.9
UNKNOWN_TCP,8.66
NTP,0.66
SSH,0.44
QUAKE,0.38
DNS,0.33
IPSEC,0.3
BITTORRENT,0.21
other,1.7
